0;"""40"" - Live From Sankt Goarshausen, Germany / Remastered 2023";227;43;820;19
0;"""40"" - Remastered 2008";157;43;77;15
0;"""40"" - Remastered 2008";157;43;76;8
0;"""Hooray ! Hooray ! It's a Holi-Holiday !""";189;36;136;16
0;"""Little Mimi's"" Theme";17;28;677;19
0;"""Slut!"" (Taylor's Version) (From The Vault)";180;40;813;3
0;"""Slut!"" (Taylor's Version) (From The Vault)";180;40;814;21
0;#Beautiful;199;28;499;21
0;'39 - Live;206;34;56;11
0;'39 - Live At Earl’s Court, London / June 1977;226;34;35;19
0;'39 - Remastered 2011;210;34;34;17
0;'39 - Remastered 2011;210;34;406;19
0;'39 - Remastered 2011;210;34;35;4
0;'97 Bonnie & Clyde;316;16;190;15
0;'97 Bonnie & Clyde;316;16;189;1
0;(Gotta Get A) Meal Ticket;241;15;31;3
0;(Gotta Get A) Meal Ticket;241;15;32;5
0;"(Gotta Get A) Meal Ticket - Live From ""Midsummer Music"" At Wembley Stadium / 1975";439;15;32;3
0;(I Can't Get No) Satisfaction - Live;308;41;633;18
0;(I Can't Get No) Satisfaction - Live;409;41;615;17
0;(I Can't Get No) Satisfaction - Live;628;41;560;20
0;(I Can't Get No) Satisfaction - Live / Remastered 2009;264;41;74;3
0;(I Can't Get No) Satisfaction - Live At Death Valley Stadium, South Carolina, USA / 1989 / 2009 Remaster;368;41;123;6
0;(I Can't Get No) Satisfaction - Live At Madison Square Garden, USA / 2003;294;41;264;4
0;(I Can't Get No) Satisfaction - Live From Madison Square Garden, New York/1969;340;41;3;20
0;(I Can't Get No) Satisfaction - Mono;223;41;798;2
0;(I Can't Get No) Satisfaction - Saturday Club / 1965;226;41;591;20
0;(I'm Gonna) Put It On;188;8;5;17
0;(If There Was) Any Other Way;240;10;116;4
0;(One of Those) Crazy Girls;212;32;465;11
0;(One of Those) Crazy Girls;212;32;464;16
0;(You Make Me Feel Like) A Natural Woman;220;10;159;15
0;(You're So Square) Baby I Don't Care - Live;88;34;511;16
0;(You're So Square) Baby I Don't Care - Live at Wembley '86;96;34;131;16
0;***Flawless (feat. Chimamanda Ngozi Adichie);250;18;513;18
0;***Flawless (feat. Chimamanda Ngozi Adichie);250;5;513;14
0;***Flawless (feat. Chimamanda Ngozi Adichie);250;33;513;8
0;...Ready For It?;208;40;588;15
0;00:00 (Zero O’Clock);250;4;649;21
0;03' Bonnie & Clyde;204;18;239;4
0;03' Bonnie & Clyde;205;18;229;11
0;03' Bonnie & Clyde;205;18;353;3
0;1 en 1 Millón;160;27;726;5
0;1 step forward, 3 steps back;163;30;691;9
0;1+1;178;39;686;14
0;1+1;273;5;408;5
0;01/02/2003;135;30;701;18
0;1-900-Hustler;230;18;207;18
0;10 Bands;177;13;520;13
0;10 Commandments of Love;246;8;5;9
0;100;215;31;684;8
0;100 Squats;151;31;819;13
0;100 Years Ago - Giles Martin 2020 Mix;238;41;666;7
0;100 Years Ago - Piano Demo;163;41;666;13
0;100 Years Ago - Remastered;238;41;20;2
0;1000 Doves;215;24;655;11
0;1000 Doves;215;6;655;19
0;1000 Doves;215;3;655;17
0;1000 Doves - Planningtorock Remix;305;24;704;21
0;1000 Doves - Planningtorock Remix;305;6;704;11
0;1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie);212;14;634;2
0;1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie);212;9;634;6
0;101;387;2;450;14
0;11 O'Clock Tick Tock - Live From Boston, Massachusetts / Remastered 2023;280;43;820;13
0;11 O'Clock Tick Tock - Remastered 2008;227;43;63;1
0;11 O'Clock Tick Tock - Songs Of Surrender;238;43;775;20
0;11:00 PM;175;27;629;5
