0;2024-06-19;23619;46;11281;54
0;2025-02-08;16347;42;3402;22
0;2025-05-01;48693;27;10291;62
0;2025-08-29;46509;42;5723;22
0;2025-05-14;43785;71;7227;37
0;2025-01-10;44842;44;11795;11
0;2025-12-24;52107;35;11787;29
0;2025-10-18;2916;16;11437;20
0;2025-10-28;18831;7;988;13
0;2025-05-18;5104;19;4447;13
0;2025-04-11;23550;17;11364;61
0;2025-02-11;46920;65;4418;63
0;2025-12-07;31451;58;607;48
0;2024-07-25;18030;18;830;8
0;2024-11-02;34830;24;6487;10
0;2024-12-13;45480;62;967;42
0;2024-02-02;39952;11;2793;43
0;2024-11-20;28726;66;4453;60
0;2024-01-28;27465;20;10944;44
0;2024-10-04;5599;71;9638;37
0;2025-04-04;22134;53;924;16
0;2024-12-20;20826;42;9388;22
0;2024-12-03;49628;57;5742;1
0;2024-03-18;5144;68;9303;55
0;2024-02-29;28355;40;4001;24
0;2025-01-08;17053;15;2426;33
0;2024-01-14;30387;44;4575;11
0;2025-08-20;34557;61;3173;45
0;2025-08-05;41894;65;10069;63
0;2025-03-13;59437;28;4515;6
0;2025-09-10;28166;25;6233;13
0;2025-08-28;9766;12;5883;66
0;2024-09-09;29874;41;10195;23
0;2025-09-06;48863;41;6392;23
0;2025-09-26;16076;68;5754;55
0;2024-06-18;18418;36;6968;28
0;2025-08-30;48373;11;10270;43
0;2024-10-10;14032;3;3438;57
0;2024-08-19;26933;64;7176;65
0;2024-06-20;10159;26;3184;10
0;2024-01-09;38467;14;4608;64
0;2024-12-22;29748;8;9918;19
0;2025-02-14;7826;71;11837;37
0;2025-07-20;32104;30;11492;21
0;2025-07-02;3211;63;11346;40
0;2025-10-08;34636;31;1681;21
0;2024-02-20;46636;48;12244;52
0;2025-02-27;50696;69;2907;39
0;2024-07-15;8113;53;2967;16
0;2024-08-24;10434;1;9227;30
0;2024-03-13;22729;42;9165;22
0;2025-10-27;50404;35;12558;29
0;2024-07-13;1592;15;5770;33
0;2024-09-25;22465;45;560;9
0;2025-01-01;29020;5;3160;57
0;2025-01-25;43341;7;248;13
0;2024-08-28;31175;8;7033;19
0;2025-06-11;29912;70;10902;38
0;2025-03-24;20863;23;7869;57
0;2024-01-24;58716;40;10971;24
0;2024-12-16;21988;51;11566;49
0;2025-03-09;60464;3;537;57
0;2025-12-22;22366;63;10737;40
0;2025-12-01;60479;15;9358;33
0;2025-08-24;12241;65;10464;63
0;2025-08-15;27510;62;7564;42
0;2025-08-16;27451;2;12311;2
0;2025-06-17;26071;67;453;59
0;2024-07-06;21601;7;409;13
0;2024-07-06;47907;65;3225;63
